Date,Description,Debit,Credit,Purchase Type
04/17/2024,Starbucks,8.66,0,Coffee
04/15/2024,Starbucks,8.44,0,Coffee
03/20/2024,Starbucks,14.88,0,Coffee
06/08/2024,Starbucks,23.49,0,Coffee
05/10/2024,Starbucks,12.72,0,Coffee
05/06/2024,Starbucks,16.08,0,Coffee
04/16/2024,Starbucks,14.23,0,Coffee
05/20/2024,Starbucks,9.85,0,Coffee
6/12/2024,Starbucks,7.66,0,Coffee
4/29/2024,Starbucks,3.19,0,Coffee
6/18/2024,Starbucks,8.44,0,Coffee
3/13/2024,Starbucks,8.01,0,Coffee
07/23/2024,Starbucks,8.09,0,Coffee
07/11/2024,Starbucks,12.99,0,Coffee
05/15/2024,Starbucks,8.44,0,Coffee
05/14/2024,Starbucks,18.08,0,Coffee
04/21/2024,Starbucks,11.8,0,Coffee
05/21/2024,Starbucks,16.99,0,Coffee
2/28/2024,Starbucks,10.01,0,Coffee
02/08/2024,Starbucks,8.44,0,Coffee
02/06/2024,Starbucks,22.57,0,Coffee
7/5/2024,Steam,5.4,0,Software
8/23/2024,Stewart Valuation,550,0,Professional Service
04/04/2024,Taco Bell,7,0,Food
4/3/2024,Taco Cabana,21.35,0,Food
1/2/2024,Taco Cabana,5.81,0,Food
4/22/2024,Taco Cabana,36.45,0,Food
8/3/2024,Taqueria San Juan,46.77,0,Food
07/12/2024,Target,84.69,0,Supplies/Clothing
07/25/2024,Target,70.35,0,Supplies/Clothing
04/24/2024,Target,53.04,0,Supplies/Clothing
01/06/2024,Target,43.28,0,Supplies/Clothing
8/3/2024,Texan,25.75,0,Supplies/Clothing
8/4/2024,Texan,14.14,0,Supplies/Clothing
08/04/2024,Texan,43.29,0,Gas
8/3/2024,Texan,43.11,0,Gas
07/06/2024,The County Line,52.6,0,Food
4/21/2024,The Home Depot,60.53,0,Supplies/Clothing
3/24/2024,The Home Depot,88.22,0,Supplies/Clothing
4/21/2024,The Home Depot,14.77,0,Supplies/Clothing
5/17/2024,Tint Shop,110,0,Professional Service
06/07/2024,Tomlinsons,45.78,0,TMO
05/13/2024,Tomlinsons,115.86,0,TMO
03/07/2024,Tomlinsons,98.67,0,TMO
07/07/2024,Tomlinsons,49.77,0,TMO
07/26/2024,Tomlinsons,84.4,0,TMO
1/23/2024,Tomlinsons,147.49,0,TMO
07/11/2024,Tomlinsons,135.49,0,TMO
05/08/2024,Tomlinsons,50.85,0,TMO
04/24/2024,Tomlinsons,70.67,0,TMO
08/21/2024,Tomlinsons,44.34,0,TMO
03/30/2024,Tomlinsons,73.28,0,TMO
08/01/2024,Tomlinsons,45.78,0,TMO
05/28/2024,Tomlinsons,73.59,0,TMO
01/10/2024,Tomlinsons,67.96,0,TMO
07/02/2024,Trader Joes,114.9,0,Groceries
06/11/2024,Trader Joes,145.15,0,Groceries
02/14/2024,Trader Joes,18.05,0,Groceries
7/11/2024,Trader Joes,95.19,0,Groceries
07/18/2024,Trader Joes,168.85,0,Groceries
02/08/2024,Trader Joes,23.77,0,Groceries
07/12/2024,Uepkobe Japanese,75.62,0,Food
03/06/2024,Ueplins Cafe,37.35,0,Food
07/27/2024,Walgreens,4.49,0,Groceries
06/09/2024,Walgreens,43.75,0,Groceries
5/25/2024,Walgreens,3.24,0,Groceries
5/31/2024,Walgreens,30.24,0,Groceries
1/6/2024,Walgreens,17.85,0,Groceries
7/5/2024,Walgreens,28.48,0,Groceries
2/27/2024,Walgreens,13.49,0,Groceries
1/25/2024,Walgreens,19.67,0,Groceries
08/07/2024,Walgreens,8.49,0,Groceries
08/01/2024,Walgreens,28.13,0,Groceries
07/21/2024,Walgreens,23.27,0,Groceries
06/15/2024,Walgreens,6.99,0,Groceries
1/23/2024,Walmart,49.62,0,Groceries
01/03/2024,Warby Parker,198.24,0,Medical
03/19/2024,Wendys,11.45,0,Food
7/1/2024,Whataburger,22.27,0,Food
2/1/2024,Whole Earth Provision,365.83,0,Supplies/Clothing
4/3/2024,Wingstop,42.9,0,Food
06/27/2024,Wingstop,41.77,0,Food
2/20/2024,Withdrawal By Check,680,0,Withdrawal
2/20/2024,Withdrawal By Check,683,0,Withdrawal
7/31/2024,Withdrawal Cash,200,0,Withdrawal
6/15/2024,Withdrawal Cash,500,0,Withdrawal
3/12/2024,Withdrawal Cash,75,0,Withdrawal
